设备编号,项目名称,单位,主要参数
1,散热器,,
1.1,空冷散热器翅片管总面积,m2,~1379000
1.2,散热系数（THA）,W/m2·K,~51.5
1.3,管束型号,,福哥式热交换器
1.3.1,每片散热器管束重量,kg,~790
1.3.2,每片散热器管束尺寸LXBXH,mm,~6000x~133x~2666
1.3.3,管束数量,片,1244
1.3.4,基管外径x壁厚,mm,θ25.6x1
1.3.5,机关总重量,t,~983
1.3.6,翅片尺寸LxBxH,mm,~2666x~133x~0.3
1.3.7,翅片间距,mm,3.3（标称）
1.3.8,翅片管/翅片材质,,铝/铝
1.3.9,翅化比（散热面积/迎风面积）,,~69
1.3.10,翅片管排数,排,4
1.3.11,流程数,,双流程叉逆流
1.3.12,管束流速,m/s,~1.5
1.3.13,翅片管材质/材质标准,,铝/铝
1.3.14,翅片管加工方法,,膨胀
1.3.15,翅片管防腐处理方法,,GEA EGI（增强氧化层）
1.4,三角形冷却单元,个,
2,空冷塔,,
3,充水和排水系统,,
4,膨胀水箱,,
5,清洗系统,,
6,起吊设施,,
7,循环水管,,
8,排气管,,
9,旁路节流阀,,
10,紧急泄水阀,,
11,其它管道和阀门,,
